FileName,Area,BoundingBoxArea,ConvexArea,Eccentricity,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,MaxIntensity,MinIntensity,MeanIntensity,Perimeter,filled_area,solidity,Porosity,Permeability
TC (341).jpeg,1336.194444,12825.33333,7931.333333,0.819716913,67.28258168,-14.62023308,101.3275799,59.32718037,200.3333333,93,158.7336054,401.1540201,5344.777778,0.725190525,0.256,336.94
TC (1133).jpeg,1206.625,9378.6,7349.3,0.66641715,46.44342918,14.58370907,86.30330452,45.64790744,180.8,107.9,150.9173959,319.3472401,4975.1,0.725193695,0.256,336.94
TC (1053).jpeg,1329.527778,12968.11111,9577.888889,0.864667371,68.72933102,0.039395838,115.7417611,58.04580701,200.7777778,94,158.8094588,459.1824513,5318.111111,0.725227896,0.256,336.94
SD (731).jpeg,1312.444444,11545.44444,10450.55556,0.724465796,52.26222764,-5.477444065,86.25599381,60.6137501,26.22222222,10,20.61939478,615.6744104,5978.888889,0.72525191,0.158,278.85
BB (645).jpg,986.1458333,8269.25,7029.666667,0.802019626,55.31514712,8.285061031,90.54798794,52.40438097,208.25,78.5,164.5261901,452.4412575,4043.916667,0.725252747,0.257,11.3
BB (1307).jpg,310.0472973,3331.459459,2598.054054,0.788026344,31.92813799,1.115562775,51.76747263,30.45126975,230.3513514,135.6756757,198.8822458,229.483771,1242.108108,0.725304432,0.257,11.3
ALB (1681).jpeg,417.5178571,4195.892857,3474.5,0.78017455,29.19063464,-5.591929893,48.44059669,28.41472812,113.0357143,82.60714286,101.8200866,235.5745399,1756.464286,0.725306338,0.208,10.23
SD (439).jpeg,1496.4375,14067.75,11131.25,0.694503098,69.36367181,-4.375320223,111.2839884,76.64194197,146.5,79.5,128.8456747,509.2761947,6075.5,0.725311965,0.158,278.85
TC (450).jpeg,1001.3125,7321.333333,5991.916667,0.78565536,54.1525425,-37.21862953,76.88086801,46.55642227,211.75,82.5,158.5795714,301.8565445,4005.25,0.725321144,0.256,336.94
TC (994).jpeg,1339.138889,11754.11111,9460.444444,0.772063994,49.81445595,17.76863175,79.09307744,57.7635445,188.4444444,115,156.3057061,370.0735849,5495,0.725327602,0.256,336.94
ALB (2483).jpeg,1704.857143,14607.42857,12690.42857,0.797193866,77.77849992,2.930734021,124.6269707,74.08874426,132.1428571,74.57142857,113.3854699,645.0153057,6853.571429,0.725340287,0.208,10.23
SD (600).jpeg,996.875,8570.583333,7900.583333,0.713584019,38.47599667,-2.56804509,68.90920568,51.05033356,25.83333333,11.41666667,20.96494496,347.1738965,4335.583333,0.725362938,0.158,278.85
SD (490).jpeg,1198.125,10181.1,9369.2,0.715375325,41.22651392,19.79135309,66.96783471,55.12567112,25,13.5,21.10829639,403.799235,5184.7,0.725380737,0.158,278.85
SD (811).jpeg,1334.833333,12125.33333,9973.666667,0.677680089,52.31936898,17.0228456,99.04057589,53.19368188,25.88888889,13.44444444,21.73905857,405.1171314,5422.777778,0.725387984,0.158,278.85
TC (1070).jpeg,1332.194444,11967.88889,8803.333333,0.841708671,72.21572814,-34.29814527,114.8773856,58.85780882,197.5555556,85.55555556,157.1126236,429.1671034,5336.111111,0.725389469,0.256,336.94
TC (1260).jpeg,1703.607143,15496.57143,13701.42857,0.783252059,85.93075454,59.14534883,142.7735914,89.660182,176.7142857,121.2857143,158.9236945,647.8477887,6814.428571,0.725420898,0.256,336.94
TC (1058).jpeg,1502.53125,13574.25,9941.625,0.817617098,66.97587466,9.132723038,106.7049089,59.98525435,195.5,83,154.8939275,451.2566421,6095.25,0.725425623,0.256,336.94
TC (611).jpeg,400.8448276,4002.068966,3223.344828,0.802354338,35.48181158,6.952446818,57.46263987,31.67900131,197.4827586,96.34482759,159.3221965,247.0550976,1616.586207,0.725473075,0.256,336.94
BB (671).jpg,794.0833333,7666.333333,6161.333333,0.867969253,42.38040638,19.03351914,76.96294394,38.92911814,212.2,88.33333333,164.2238385,308.5211181,3226.866667,0.725495234,0.257,11.3
TC (527).jpeg,697.9264706,5981.117647,4483.058824,0.80010977,45.30731447,-12.91335261,71.59486982,39.7892473,200.5294118,87.70588235,158.994459,295.5873141,2806.529412,0.72550148,0.256,336.94
ALB (1982).jpeg,390.725,3748.766667,3205.733333,0.826659028,27.03714767,21.25333267,47.81002653,23.61327659,115.3,84.03333333,105.0354592,208.8998904,1589.533333,0.725523187,0.208,10.23
SD (243).jpeg,1331.861111,12008.44444,9537.222222,0.805512724,62.93550677,17.69054016,98.03492717,59.75477698,145.5555556,80.66666667,123.1491136,442.6229475,5343.888889,0.725533186,0.158,278.85
TC (562).jpeg,557.6071429,5712.47619,4492.809524,0.801852052,42.35775414,3.595435367,69.79362289,40.08099978,199.3809524,83.66666667,156.2960319,306.7690972,2254.095238,0.725620898,0.256,336.94
SD (929).jpeg,1715.714286,14511.28571,12744.85714,0.727910004,56.28083049,1.302568957,93.10246489,76.55800426,26.71428571,13.28571429,21.59844127,535.5446554,7050.857143,0.725640617,0.158,278.85
BB (1571).jpg,554.2142857,5074.857143,4000.428571,0.784257924,42.21870302,20.68442025,66.08466509,38.41916243,238.8095238,121.2380952,199.2270211,342.4094703,2263.047619,0.725645471,0.257,11.3
BB (1085).jpg,996.2291667,8820.416667,7883.25,0.681659548,41.80284725,5.561221928,64.4239399,53.37777995,203.25,85.16666667,154.4484857,355.5191616,4104.666667,0.725665953,0.257,11.3
BB (1375).jpg,265.1802326,2674.186047,2110.604651,0.746143744,29.32805957,1.310205252,46.02644875,27.51888416,225.3953488,135.6744186,193.7470662,215.2600681,1069.302326,0.725669448,0.257,11.3
TC (583).jpeg,436.0740741,4359.37037,3513.481481,0.76568811,29.52097383,5.338362369,47.96580524,30.55218734,193.9259259,103.7037037,157.4584852,213.2344676,1763.259259,0.725675529,0.256,336.94
TC (1168).jpeg,988.1041667,9098.166667,8223.833333,0.747957999,47.09707698,-6.542655058,79.52170132,53.4885266,175.4166667,136.6666667,159.6467886,432.4332158,4071.75,0.725678163,0.256,336.94
ALB (2216).jpeg,279.9146341,2689.731707,2205.146341,0.788988998,28.28824002,-11.73829277,45.0763045,26.72319639,124.0243902,92.58536585,111.6264127,210.6258542,1119.658537,0.725739901,0.208,10.23
